YEAR,TERM,TERM_TEXT,CRN,SUB,NUM,SECT,SEQ,SECTION_TITLE,CREDITS,DAYS,TIMES,BLDG,ROOM,PROF,NOTES,MAX_ENROLL,DIST,INTERDISCIPLINARY_COURSE1,INTERDISCIPLINARY_COURSE2,INTERDISCIPLINARY_COURSE3,INTERDISCIPLINARY_COURSE4
2016,201601,Fall 2016,15710,BIO,114,A,1,Integr Concepts in Biology II,1,    R  ,0815-1055am,WATSON,119,Smith K,B2,16,NSRQ,,,,
2016,201601,Fall 2016,15710,BIO,114,A,1,Integr Concepts in Biology II,1,    R  ,0815-1055am,WATSON,119,Smith K,B2,16,NSRQ,,,,
2016,201601,Fall 2016,15710,BIO,114,A,2,Integr Concepts in Biology II,, M  W  F ,0130-0220pm,WALL,243,Smith K,B2,16,NSRQ,,,,
2016,201601,Fall 2016,15710,BIO,114,A,2,Integr Concepts in Biology II,, M  W  F ,0130-0220pm,WALL,243,Smith K,B2,16,NSRQ,,,,
2016,201601,Fall 2016,15711,BIO,114,B,1,Integr Concepts in Biology II,1, M  W  F ,0130-0220pm,WALL,243,Smith K,B2,16,NSRQ,,,,
2016,201601,Fall 2016,15711,BIO,114,B,1,Integr Concepts in Biology II,1, M  W  F ,0130-0220pm,WALL,243,Smith K,B2,16,NSRQ,,,,
2016,201601,Fall 2016,15711,BIO,114,B,2,Integr Concepts in Biology II,,    R  ,0140-0420pm,WATSON,119,Smith K,B2,16,NSRQ,,,,
2016,201601,Fall 2016,15711,BIO,114,B,2,Integr Concepts in Biology II,,    R  ,0140-0420pm,WATSON,119,Smith K,B2,16,NSRQ,,,,
2016,201601,Fall 2016,15306,BIO,201,A,1,Genetics,1, M  W  F ,1230-0120pm,WALL,106,El Bejjani R,PRQ,16,,,,,
2016,201601,Fall 2016,15306,BIO,201,A,1,Genetics,1, M  W  F ,1230-0120pm,WALL,106,El Bejjani R,PRQ,16,,,,,
2016,201601,Fall 2016,15306,BIO,201,A,2,Genetics,,  T    ,0140-0420pm,DANA,220,El Bejjani R,PRQ,16,,,,,
2016,201601,Fall 2016,15306,BIO,201,A,2,Genetics,,  T    ,0140-0420pm,DANA,220,El Bejjani R,PRQ,16,,,,,
2016,201601,Fall 2016,15307,BIO,201,B,1,Genetics,1, M  W  F ,1230-0120pm,WALL,106,El Bejjani R,PRQ,16,,,,,
2016,201601,Fall 2016,15307,BIO,201,B,1,Genetics,1, M  W  F ,1230-0120pm,WALL,106,El Bejjani R,PRQ,16,,,,,
2016,201601,Fall 2016,15307,BIO,201,B,2,Genetics,,   W   ,0130-0420pm,DANA,220,El Bejjani R,PRQ,16,,,,,
2016,201601,Fall 2016,15307,BIO,201,B,2,Genetics,,   W   ,0130-0420pm,DANA,220,El Bejjani R,PRQ,16,,,,,
